Game,Ncomments,Ndiscomfort,Pdiscomfort,name
.hack//G.U. Last Recode,25,0.0,0.0,hackgulastrecode
007: NightFire,21,0.0,0.0,007nightfire
007: Quantum of Solace,23,0.0,0.0,007quantumofsolace
0RBITALIS,6,0.0,0.0,0rbitalis
10 Second Ninja,17,0.0,0.0,10secondninja
11-11: Memories Retold,17,0.0,0.0,1111memoriesretold
112 Operator,17,0.0,0.0,112operator
1503 A.D. - The New World,14,0.0,0.0,1503adthenewworld
1701 A.D.,21,0.0,0.0,1701ad
1954: Alcatraz,43,0.0,0.0,1954alcatraz
1979 Revolution: Black Friday,18,0.0,0.0,1979revolutionblackfriday
198X,19,0.0,0.0,198x
1nsane,26,0.0,0.0,1nsane
2002 FIFA World Cup,23,0.0,0.0,2002fifaworldcup
2064: Read Only Memories,55,0.0,0.0,2064readonlymemories
25 to Life,12,0.0,0.0,25tolife
2Dark,13,0.0,0.0,2dark
39 Days to Mars,7,0.0,0.0,39daystomars
4PM,9,0.0,0.0,4pm
4x4 EVO 2,11,0.0,0.0,4x4evo2
4x4 Evolution,7,0.0,0.0,4x4evolution
60 Parsecs!,14,0.0,0.0,60parsecs
7554,23,0.0,0.0,7554
8-Bit Armies,12,0.0,0.0,8bitarmies
80 Days (2005),42,0.0,0.0,80days2005
80 Days (2015),13,0.0,0.0,80days2015
9 Monkeys of Shaolin,12,0.0,0.0,9monkeysofshaolin
911 Operator,23,0.0,0.0,911operator
A Bird Story,40,0.0,0.0,abirdstory
A Case of Distrust,7,0.0,0.0,acaseofdistrust
A City Sleeps,6,0.0,0.0,acitysleeps
A Fisherman's Tale,8,0.0,0.0,afishermanstale
A Fistful of Gun,31,0.0,0.0,afistfulofgun
A Fold Apart,35,0.0,0.0,afoldapart
A Game of Dwarves,43,0.0,0.0,agameofdwarves
A Game of Thrones: Genesis,63,1.0,0.0158730158730158,agameofthronesgenesis
A Golden Wake,13,0.0,0.0,agoldenwake
A Hat in Time,141,1.0,0.0070921985815602,ahatintime
A Little To The Left,7,0.0,0.0,alittletotheleft
A New Beginning - Final Cut,39,2.0,0.0512820512820512,anewbeginningfinalcut
A Normal Lost Phone,16,0.0,0.0,anormallostphone
A Pixel Story,15,0.0,0.0,apixelstory
A Plague Tale: Innocence,402,2.0,0.0049751243781094,aplaguetaleinnocence
A Plague Tale: Requiem,172,1.0,0.005813953488372,aplaguetalerequiem
A Quiet Weekend in Capri,8,0.0,0.0,aquietweekendincapri
A Short Hike,83,0.0,0.0,ashorthike
A Space For The Unbound,26,0.0,0.0,aspacefortheunbound
A Story About My Uncle,62,0.0,0.0,astoryaboutmyuncle
A Total War Saga: TROY,120,2.0,0.0166666666666666,atotalwarsagatroy
A Total War Saga: Thrones of Britannia,49,0.0,0.0,atotalwarsagathronesofbritannia
A Valley Without Wind,38,1.0,0.0263157894736842,avalleywithoutwind
A Virus Named TOM,30,0.0,0.0,avirusnamedtom
A Way Out,196,0.0,0.0,awayout
ABZU,107,1.0,0.0093457943925233,abzu
ADR1FT,12,0.0,0.0,adr1ft
AER: Memories of Old,28,0.0,0.0,aermemoriesofold
AI War: Fleet Command,50,0.0,0.0,aiwarfleetcommand
AI: The Somnium Files - nirvanA Initiative,47,1.0,0.0212765957446808,aithesomniumfilesnirvanainitiative
ALTDEUS: Beyond Chronos,7,0.0,0.0,altdeusbeyondchronos
AMID EVIL,40,0.0,0.0,amidevil
ANNO: Mutationem,20,0.0,0.0,annomutationem
AO Tennis 2,15,0.0,0.0,aotennis2
APB (All Points Bulletin),87,1.0,0.0114942528735632,apballpointsbulletin
APB: Reloaded,148,0.0,0.0,apbreloaded
AR-K Episode 3: The Great Escape,24,0.0,0.0,arkepisode3thegreatescape
ARK: Survival Evolved,186,2.0,0.010752688172043,arksurvivalevolved
ASTRONEER,62,1.0,0.0161290322580645,astroneer
ATOM RPG: Post-apocalyptic indie game,48,1.0,0.0208333333333333,atomrpgpostapocalypticindiegame
AWAY: The Survival Series,16,0.0,0.0,awaythesurvivalseries
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,49,1.0,0.0204081632653061,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity
Aarklash: Legacy,31,0.0,0.0,aarklashlegacy
Aaru's Awakening,22,0.0,0.0,aarusawakening
Absolver,37,0.0,0.0,absolver
Abyss Odyssey,23,0.0,0.0,abyssodyssey
Ace Combat 7: Skies Unknown,90,0.0,0.0,acecombat7skiesunknown
Ace Combat Assault Horizon: Enhanced Edition,63,2.0,0.0317460317460317,acecombatassaulthorizonenhancededition
Ace of Spades: Battle Builder,179,1.0,0.0055865921787709,aceofspadesbattlebuilder
Achron,22,0.0,0.0,achron
Achtung! Cthulhu Tactics,7,0.0,0.0,achtungcthulhutactics
Act of Aggression,35,0.0,0.0,actofaggression
Act of War: Direct Action,16,0.0,0.0,actofwardirectaction
Act of War: High Treason,17,0.0,0.0,actofwarhightreason
Action Henk,9,0.0,0.0,actionhenk
Adios,20,0.0,0.0,adios
Advent Rising,62,0.0,0.0,adventrising
Adventure Pinball: Forgotten Island,27,0.0,0.0,adventurepinballforgottenisland
Adventures of Pip,11,0.0,0.0,adventuresofpip
Aegis Defenders,15,0.0,0.0,aegisdefenders
Aerial Strike: The Yager Missions,7,0.0,0.0,aerialstriketheyagermissions
Aeterna Noctis,28,0.0,0.0,aeternanoctis
After the Fall,12,0.0,0.0,afterthefall
Afterfall: InSanity,48,0.0,0.0,afterfallinsanity
Afterparty,24,0.0,0.0,afterparty
Agatha Christie: And Then There Were None,18,0.0,0.0,agathachristieandthentherewerenone
Agatha Christie: Evil Under the Sun,13,0.0,0.0,agathachristieevilunderthesun
Agatha Christie: Murder on the Orient Express,28,0.0,0.0,agathachristiemurderontheorientexpress
Age of Conan: Hyborian Adventures,395,7.0,0.0177215189873417,ageofconanhyborianadventures
Age of Conan: Rise of the Godslayer,19,0.0,0.0,ageofconanriseofthegodslayer
Age of Empires,44,0.0,0.0,ageofempires
Age of Empires II: Definitive Edition,100,1.0,0.01,ageofempiresiidefinitiveedition
Age of Empires II: HD Edition,162,1.0,0.0061728395061728,ageofempiresiihdedition
Age of Empires II: The Age of Kings,158,1.0,0.0063291139240506,ageofempiresiitheageofkings
Age of Empires III,165,3.0,0.0181818181818181,ageofempiresiii
Age of Empires III: Definitive Edition,53,0.0,0.0,ageofempiresiiidefinitiveedition
Age of Empires III: The Asian Dynasties,21,0.0,0.0,ageofempiresiiitheasiandynasties
Age of Empires III: The WarChiefs,21,0.0,0.0,ageofempiresiiithewarchiefs
Age of Empires IV,145,1.0,0.0068965517241379,ageofempiresiv
Age of Empires Online,82,0.0,0.0,ageofempiresonline
Age of Empires: Definitive Edition,60,0.0,0.0,ageofempiresdefinitiveedition
Age of Mythology,110,0.0,0.0,ageofmythology
Age of Mythology: Extended Edition,52,0.0,0.0,ageofmythologyextendededition
Age of Mythology: The Titans,47,0.0,0.0,ageofmythologythetitans
Age of Pirates 2: City of Abandoned Ships,21,0.0,0.0,ageofpirates2cityofabandonedships
Age of Pirates: Caribbean Tales,14,1.0,0.0714285714285714,ageofpiratescaribbeantales
Age of Sail II,6,0.0,0.0,ageofsailii
Age of Sail II: Privateer's Bounty,12,0.0,0.0,ageofsailiiprivateersbounty
Age of Wonders II: The Wizard's Throne,13,0.0,0.0,ageofwondersiithewizardsthrone
Age of Wonders III,141,2.0,0.0141843971631205,ageofwondersiii
Age of Wonders III - Eternal Lords,26,0.0,0.0,ageofwondersiiieternallords
Age of Wonders III - Golden Realms,17,0.0,0.0,ageofwondersiiigoldenrealms
Age of Wonders: Planetfall,46,2.0,0.0434782608695652,ageofwondersplanetfall
Age of Wonders: Shadow Magic,72,0.0,0.0,ageofwondersshadowmagic
Agents of Mayhem,50,0.0,0.0,agentsofmayhem
Aggressors: Ancient Rome,15,0.0,0.0,aggressorsancientrome
Agony,72,0.0,0.0,agony
Aion,181,1.0,0.005524861878453,aion
Air Conflicts: Vietnam,10,0.0,0.0,airconflictsvietnam
Air Raid: This Is Not a Drill!,13,0.0,0.0,airraidthisisnotadrill
Airborne Assault: Highway to the Reich,13,0.0,0.0,airborneassaulthighwaytothereich
Airborne Assault: Red Devils Over Arnhem,12,0.0,0.0,airborneassaultreddevilsoverarnhem
Airborne Kingdom,23,0.0,0.0,airbornekingdom
Airfix Dogfighter,7,0.0,0.0,airfixdogfighter
Airplane Mode,16,0.0,0.0,airplanemode
Airscape: The Fall of Gravity,14,0.0,0.0,airscapethefallofgravity
Akaneiro: Demon Hunters,23,0.0,0.0,akaneirodemonhunters
Akka Arrh,6,0.0,0.0,akkaarrh
Al Emmo and the Lost Dutchman's Mine,16,0.0,0.0,alemmoandthelostdutchmansmine
Alan Wake,424,9.0,0.0212264150943396,alanwake
Alan Wake's American Nightmare,104,0.0,0.0,alanwakesamericannightmare
Alba: a Wildlife Adventure,14,0.0,0.0,albaawildlifeadventure
Albino Lullaby: Episode 1,10,0.0,0.0,albinolullabyepisode1
Albion Online,121,1.0,0.0082644628099173,albiononline
Alekhine's Gun,14,1.0,0.0714285714285714,alekhinesgun
Alex Kidd in Miracle World DX,15,0.0,0.0,alexkiddinmiracleworlddx
Alexander,12,0.0,0.0,alexander
Alfred Hitchcock presents The Final Cut,7,0.0,0.0,alfredhitchcockpresentsthefinalcut
Alfred Hitchcock: Vertigo,12,0.0,0.0,alfredhitchcockvertigo
Alias (2004),11,0.0,0.0,alias2004
Alice: Madness Returns,183,1.0,0.0054644808743169,alicemadnessreturns
Alien Blast: The Encounter,10,0.0,0.0,alienblasttheencounter
Alien Breed 3: Descent,69,1.0,0.0144927536231884,alienbreed3descent
Alien Breed: Impact,30,0.0,0.0,alienbreedimpact
Alien Rage,122,0.0,0.0,alienrage
Alien Shooter: Vengeance,28,0.0,0.0,alienshootervengeance
Alien Swarm,105,1.0,0.0095238095238095,alienswarm
Alien: Isolation,542,4.0,0.007380073800738,alienisolation
Aliens Versus Predator 2,44,0.0,0.0,aliensversuspredator2
Aliens Versus Predator 2: Primal Hunt Expansion Pack,16,0.0,0.0,aliensversuspredator2primalhuntexpansionpack
Aliens vs. Predator,238,5.0,0.0210084033613445,aliensvspredator
Aliens: Colonial Marines,354,3.0,0.0084745762711864,alienscolonialmarines
Aliens: Fireteam Elite,58,0.0,0.0,aliensfireteamelite
All Walls Must Fall,24,0.0,0.0,allwallsmustfall
Allegiance,14,0.0,0.0,allegiance
Alone With You (2017),12,0.0,0.0,alonewithyou2017
Alone in the Dark: Illumination,74,0.0,0.0,aloneinthedarkillumination
Alone in the Dark: The New Nightmare,11,0.0,0.0,aloneinthedarkthenewnightmare
Alpha Black Zero: Intrepid Protocol,79,0.0,0.0,alphablackzerointrepidprotocol
Alpha Polaris: A Horror Adventure Game,18,0.0,0.0,alphapolarisahorroradventuregame
Alpha Prime,53,1.0,0.0188679245283018,alphaprime
Alpha Protocol,178,0.0,0.0,alphaprotocol
Alter Ego (2010),434,0.0,0.0,alterego2010
Alternativa,13,0.0,0.0,alternativa
Alwa's Awakening,14,0.0,0.0,alwasawakening
Always Sometimes Monsters,21,2.0,0.0952380952380952,alwayssometimesmonsters
Amazons & Aliens,9,0.0,0.0,amazonsaliens
America,9,0.0,0.0,america
America's Army,26,0.0,0.0,americasarmy
American Civil War: Take Command - Second Manassas,19,0.0,0.0,americancivilwartakecommandsecondmanassas
American Conquest: Divided Nation,20,0.0,0.0,americanconquestdividednation
American Conquest: Fight Back,14,0.0,0.0,americanconquestfightback
American Fugitive,12,0.0,0.0,americanfugitive
American McGee Presents Bad Day LA,34,0.0,0.0,americanmcgeepresentsbaddayla
American McGee's Alice,58,0.0,0.0,americanmcgeesalice
American Truck Simulator,81,0.0,0.0,americantrucksimulator
Amnesia: A Machine for Pigs,362,1.0,0.0027624309392265,amnesiaamachineforpigs
Amnesia: Rebirth,78,1.0,0.0128205128205128,amnesiarebirth
Amnesia: The Dark Descent,412,5.0,0.012135922330097,amnesiathedarkdescent
Among Us,128,1.0,0.0078125,amongus
Among Us VR,11,0.0,0.0,amongusvr
Among the Sleep,66,1.0,0.0151515151515151,amongthesleep
An Airport for Aliens Currently Run by Dogs,9,0.0,0.0,anairportforalienscurrentlyrunbydogs
AnaCapri: The Dream,10,0.0,0.0,anacaprithedream
Anachronox,22,0.0,0.0,anachronox
Anarchy Online,29,0.0,0.0,anarchyonline
Anarchy Online: Alien Invasion,11,0.0,0.0,anarchyonlinealieninvasion
Anarchy Online: Shadowlands,19,0.0,0.0,anarchyonlineshadowlands
Anarcute,9,0.0,0.0,anarcute
Ancestors Legacy,27,0.0,0.0,ancestorslegacy
Ancestors: The Humankind Odyssey,109,4.0,0.036697247706422,ancestorsthehumankindodyssey
Ancient Space,14,0.0,0.0,ancientspace
Ancient Wars: Sparta,16,0.0,0.0,ancientwarssparta
And Yet It Moves,37,4.0,0.1081081081081081,andyetitmoves
Angry Birds VR: Isle of Pigs,20,0.0,0.0,angrybirdsvrisleofpigs
Angry Video Game Nerd Adventures,38,0.0,0.0,angryvideogamenerdadventures
Animal Gods,6,0.0,0.0,animalgods
Anna,19,0.0,0.0,anna
Anna's Quest,22,0.0,0.0,annasquest
Anno 1800,120,1.0,0.0083333333333333,anno1800
Anno 2070,158,5.0,0.0316455696202531,anno2070
Anno 2205,89,0.0,0.0,anno2205
Anodyne,34,2.0,0.0588235294117647,anodyne
Anomaly 2,21,0.0,0.0,anomaly2
Anomaly Defenders,15,0.0,0.0,anomalydefenders
Anomaly: Warzone Earth,50,1.0,0.02,anomalywarzoneearth
Another Sight (2018),12,0.0,0.0,anothersight2018
Anthem,1314,12.0,0.0091324200913242,anthem
Antichamber,135,7.0,0.0518518518518518,antichamber
Antigraviator,9,0.0,0.0,antigraviator
Antihero,9,0.0,0.0,antihero
Apache: Air Assault,13,0.0,0.0,apacheairassault
Ape Out,37,0.0,0.0,apeout
Apex Legends,550,3.0,0.0054545454545454,apexlegends
Apocalipsis,11,0.0,0.0,apocalipsis
Aporia: Beyond The Valley,17,0.0,0.0,aporiabeyondthevalley
Apotheon,32,0.0,0.0,apotheon
AquaNox,19,0.0,0.0,aquanox
AquaNox 2: Revelation,16,0.0,0.0,aquanox2revelation
Aquanox Deep Descent,24,0.0,0.0,aquanoxdeepdescent
Aquaria,57,0.0,0.0,aquaria
Aragami,33,0.0,0.0,aragami
Aragami 2,16,0.0,0.0,aragami2
Arcade Spirits,11,0.0,0.0,arcadespirits
Arcania: Fall of Setarrif,41,0.0,0.0,arcaniafallofsetarrif
Arcania: Gothic 4,112,0.0,0.0,arcaniagothic4
Arcanum: Of Steamworks and Magick Obscura,62,0.0,0.0,arcanumofsteamworksandmagickobscura
ArchLord,18,0.0,0.0,archlord
Archangel: Hellfire,20,0.0,0.0,archangelhellfire
ArcheAge,452,5.0,0.0110619469026548,archeage
Archvale,20,0.0,0.0,archvale
Area 51,28,0.0,0.0,area51
Arena Wars,9,0.0,0.0,arenawars
Argonus and the Gods of Stone,8,0.0,0.0,argonusandthegodsofstone
Arise: A Simple Story,61,0.0,0.0,ariseasimplestory
Arkham Horror: Mother's Embrace,8,1.0,0.125,arkhamhorrormothersembrace
Arktika.1,12,0.0,0.0,arktika1
ArmA II,218,2.0,0.0091743119266055,armaii
ArmA II: Operation Arrowhead,50,1.0,0.02,armaiioperationarrowhead
ArmA: Combat Operations,48,4.0,0.0833333333333333,armacombatoperations
Arma 3,315,6.0,0.019047619047619,arma3
Armada 2526,8,0.0,0.0,armada2526
Armadillo Run,15,0.0,0.0,armadillorun
Armed and Dangerous,17,0.0,0.0,armedanddangerous
Armello,32,0.0,0.0,armello
Armies of Exigo,21,0.0,0.0,armiesofexigo
Armikrog,29,0.0,0.0,armikrog
Army Men: RTS,13,0.0,0.0,armymenrts
Art of Murder: Cards of Destiny,7,0.0,0.0,artofmurdercardsofdestiny
Art of Murder: FBI Confidential,8,0.0,0.0,artofmurderfbiconfidential
Arthur and the Invisibles: The Game,10,0.0,0.0,arthurandtheinvisiblesthegame
Artifact,182,1.0,0.0054945054945054,artifact
Arx Fatalis,52,0.0,0.0,arxfatalis
Ary and the Secret of Seasons,15,0.0,0.0,aryandthesecretofseasons
As Dusk Falls,84,1.0,0.0119047619047619,asduskfalls
As Far As The Eye,11,0.0,0.0,asfarastheeye
Asgard's Wrath,35,0.0,0.0,asgardswrath
Ash of Gods: Redemption,33,1.0,0.0303030303030303,ashofgodsredemption
Ashen,76,0.0,0.0,ashen
Asheron's Call,18,0.0,0.0,asheronscall
Asheron's Call 2: Fallen Kings,8,0.0,0.0,asheronscall2fallenkings
Asheron's Call Dark Majesty,9,0.0,0.0,asheronscalldarkmajesty
Ashes of the Singularity,47,1.0,0.0212765957446808,ashesofthesingularity
Ashwalkers: A Survival Journey,7,0.0,0.0,ashwalkersasurvivaljourney
Assassin's Creed Chronicles: China,42,1.0,0.0238095238095238,assassinscreedchronicleschina
Assassin's Creed Chronicles: India,22,1.0,0.0454545454545454,assassinscreedchroniclesindia
Assassin's Creed Chronicles: Russia,29,0.0,0.0,assassinscreedchroniclesrussia
Assassin's Creed II,307,2.0,0.006514657980456,assassinscreedii
Assassin's Creed III,509,7.0,0.0137524557956778,assassinscreediii
Assassin's Creed IV: Black Flag,537,9.0,0.0167597765363128,assassinscreedivblackflag
Assassin's Creed Liberation HD,61,1.0,0.0163934426229508,assassinscreedliberationhd
Assassin's Creed Odyssey,629,5.0,0.0079491255961844,assassinscreedodyssey
Assassin's Creed Origins,490,4.0,0.0081632653061224,assassinscreedorigins
Assassin's Creed Rogue,133,1.0,0.0075187969924812,assassinscreedrogue
Assassin's Creed Syndicate,236,2.0,0.0084745762711864,assassinscreedsyndicate
Assassin's Creed Unity,693,5.0,0.0072150072150072,assassinscreedunity
Assassin's Creed Valhalla,1760,27.0,0.015340909090909,assassinscreedvalhalla
Assassin's Creed Valhalla: Dawn of Ragnarok,23,0.0,0.0,assassinscreedvalhalladawnofragnarok
Assassin's Creed Valhalla: The Siege of Paris,33,0.0,0.0,assassinscreedvalhallathesiegeofparis
Assassin's Creed Valhalla: Wrath of the Druids,32,0.0,0.0,assassinscreedvalhallawrathofthedruids
Assassin's Creed: Brotherhood,259,2.0,0.0077220077220077,assassinscreedbrotherhood
Assassin's Creed: Director's Cut Edition,292,0.0,0.0,assassinscreeddirectorscutedition
Assassin's Creed: Revelations,228,8.0,0.0350877192982456,assassinscreedrevelations
Assault Android Cactus,18,0.0,0.0,assaultandroidcactus
Assetto Corsa,108,0.0,0.0,assettocorsa
Assetto Corsa Competizione,35,0.0,0.0,assettocorsacompetizione
Astebreed,24,0.0,0.0,astebreed
Asterigos: Curse of the Stars,19,0.0,0.0,asterigoscurseofthestars
Astria Ascending,10,0.0,0.0,astriaascending
Atari Anniversary Edition,13,0.0,0.0,atarianniversaryedition
Atelier Ryza 2: Lost Legends & the Secret Fairy,17,0.0,0.0,atelierryza2lostlegendsthesecretfairy
Atelier Sophie 2: The Alchemist of the Mysterious Dream,32,0.0,0.0,ateliersophie2thealchemistofthemysteriousdream
Atlantis Evolution,16,0.0,0.0,atlantisevolution
Atlantis Quest,24,0.0,0.0,atlantisquest
Atlas Reactor,23,0.0,0.0,atlasreactor
Atom Zombie Smasher,46,0.0,0.0,atomzombiesmasher
Atomega,10,0.0,0.0,atomega
Atomic Heart,935,4.0,0.0042780748663101,atomicheart
Atomicrops,13,0.0,0.0,atomicrops
Attack of the Earthlings,12,0.0,0.0,attackoftheearthlings
Attack on Pearl Harbor,20,0.0,0.0,attackonpearlharbor
Attentat 1942,13,0.0,0.0,attentat1942
Audica,13,0.0,0.0,audica
AudioSurf,245,5.0,0.0204081632653061,audiosurf
Audiosurf 2,17,0.0,0.0,audiosurf2
Aura: Fate of the Ages,10,0.0,0.0,aurafateoftheages
Aurion: Legacy of the Kori-Odan,12,0.0,0.0,aurionlegacyofthekoriodan
Austerlitz: Napoleon's Greatest Victory,18,0.0,0.0,austerlitznapoleonsgreatestvictory
Auto Age: Standoff,10,0.0,0.0,autoagestandoff
Auto Assault,33,0.0,0.0,autoassault
Autonauts,16,0.0,0.0,autonauts
Avadon: The Black Fortress,29,0.0,0.0,avadontheblackfortress
Aven Colony,15,0.0,0.0,avencolony
Avencast: Rise of the Mage,16,0.0,0.0,avencastriseofthemage
Avernum 2: Crystal Souls,54,0.0,0.0,avernum2crystalsouls
Aviary Attorney,9,0.0,0.0,aviaryattorney
Axiom Verge,34,0.0,0.0,axiomverge
Axiom Verge 2,16,0.0,0.0,axiomverge2
Axis & Allies,14,0.0,0.0,axisallies
Aztech: Forgotten Gods,18,0.0,0.0,aztechforgottengods
B-17 Flying Fortress: The Mighty 8th!,16,0.0,0.0,b17flyingfortressthemighty8th
B-17 Gunner: Air War Over Germany,8,0.0,0.0,b17gunnerairwarovergermany
B.I.O.T.A.,6,2.0,0.3333333333333333,biota
BANNERMEN,82,0.0,0.0,bannermen
BCT Commander,7,0.0,0.0,bctcommander
BPM: Bullets Per Minute,44,1.0,0.0227272727272727,bpmbulletsperminute
Baba Is You,41,0.0,0.0,babaisyou
Babylon's Fall,22,0.0,0.0,babylonsfall
Back 4 Blood,184,0.0,0.0,back4blood
Back in 1995,17,0.0,0.0,backin1995
Back to Bed,14,0.0,0.0,backtobed
Back to the Future: The Game - Episode I: It's About Time,41,0.0,0.0,backtothefuturethegameepisodeiitsabouttime
Back to the Future: The Game - Episode II: Get Tannen!,21,0.0,0.0,backtothefuturethegameepisodeiigettannen
Back to the Future: The Game - Episode III: Citizen Brown,14,0.0,0.0,backtothefuturethegameepisodeiiicitizenbrown
Back to the Future: The Game - Episode IV: Double Visions,13,0.0,0.0,backtothefuturethegameepisodeivdoublevisions
Back to the Future: The Game - Episode V: OUTATIME,24,0.0,0.0,backtothefuturethegameepisodevoutatime
Backbone,30,0.0,0.0,backbone
Bad Bots,89,0.0,0.0,badbots
Bad Mojo,14,0.0,0.0,badmojo
Bad Mojo: Redux,13,0.0,0.0,badmojoredux
Bad North,28,0.0,0.0,badnorth
Balan Wonderworld,80,0.0,0.0,balanwonderworld
Baldur's Gate,125,1.0,0.008,baldursgate
Baldur's Gate II: Enhanced Edition,118,2.0,0.0169491525423728,baldursgateiienhancededition
Baldur's Gate II: Shadows of Amn,257,2.0,0.0077821011673151,baldursgateiishadowsofamn
Baldur's Gate II: Throne of Bhaal,103,0.0,0.0,baldursgateiithroneofbhaal
Baldur's Gate: Enhanced Edition,107,0.0,0.0,baldursgateenhancededition
Baldur's Gate: Siege of Dragonspear,205,0.0,0.0,baldursgatesiegeofdragonspear
Ballistics,10,0.0,0.0,ballistics
Bandits: Phoenix Rising,10,0.0,0.0,banditsphoenixrising
Bang! Gunship Elite,8,0.0,0.0,banggunshipelite
Banished,185,0.0,0.0,banished
Banner of the Maid,13,0.0,0.0,bannerofthemaid
Barrow Hill: Curse of the Ancient Circle,16,0.0,0.0,barrowhillcurseoftheancientcircle
Baseball Mogul 2003,8,0.0,0.0,baseballmogul2003
Baseball Mogul 2007,11,0.0,0.0,baseballmogul2007
Baseball Mogul 2008,11,0.0,0.0,baseballmogul2008
Bastion,416,2.0,0.0048076923076923,bastion
Batbarian: Testament of the Primordials,61,0.0,0.0,batbariantestamentoftheprimordials
Batman: Arkham Asylum,401,1.0,0.0024937655860349,batmanarkhamasylum
Batman: Arkham City,420,1.0,0.0023809523809523,batmanarkhamcity
Batman: Arkham Knight,603,5.0,0.0082918739635157,batmanarkhamknight
Batman: Arkham Origins,356,0.0,0.0,batmanarkhamorigins
Batman: Arkham Origins Blackgate - Deluxe Edition,34,0.0,0.0,batmanarkhamoriginsblackgatedeluxeedition
Batman: The Enemy Within - Episode 1: The Enigma,8,0.0,0.0,batmantheenemywithinepisode1theenigma
Batman: The Enemy Within - Episode 2: The Pact,9,0.0,0.0,batmantheenemywithinepisode2thepact
Batman: The Enemy Within - Episode 3: The Fractured Mask,11,0.0,0.0,batmantheenemywithinepisode3thefracturedmask
Batman: The Enemy Within - Episode 4: What Ails You,8,0.0,0.0,batmantheenemywithinepisode4whatailsyou
Batman: The Enemy Within - Episode 5: Same Stitch,18,0.0,0.0,batmantheenemywithinepisode5samestitch
Batman: The Enemy Within - The Telltale Series,62,0.0,0.0,batmantheenemywithinthetelltaleseries
Batman: The Telltale Series,105,0.0,0.0,batmanthetelltaleseries
Batman: The Telltale Series - Episode 1: Realm of Shadows,40,0.0,0.0,batmanthetelltaleseriesepisode1realmofshadows
Batman: The Telltale Series - Episode 2: Children of Arkham,8,2.0,0.25,batmanthetelltaleseriesepisode2childrenofarkham
Batman: The Telltale Series - Episode 3: New World Order,8,0.0,0.0,batmanthetelltaleseriesepisode3newworldorder
Batman: The Telltale Series - Episode 4: Guardian of Gotham,8,0.0,0.0,batmanthetelltaleseriesepisode4guardianofgotham
Batman: The Telltale Series - Episode 5: City of Light,9,0.0,0.0,batmanthetelltaleseriesepisode5cityoflight
Batman: Vengeance,10,0.0,0.0,batmanvengeance
Batora: Lost Haven,36,0.0,0.0,batoralosthaven
Battle Brothers,42,0.0,0.0,battlebrothers
Battle Chasers: Nightwar,34,0.0,0.0,battlechasersnightwar
Battle Engine Aquila,8,0.0,0.0,battleengineaquila
Battle Isle: The Andosia War,10,0.0,0.0,battleisletheandosiawar
Battle Princess Madelyn,18,0.0,0.0,battleprincessmadelyn
Battle Realms,31,0.0,0.0,battlerealms
Battle Realms: Winter of the Wolf,12,0.0,0.0,battlerealmswinterofthewolf
Battle Worlds: Kronos,29,0.0,0.0,battleworldskronos
Battle of Britain II: Wings of Victory,19,0.0,0.0,battleofbritainiiwingsofvictory
Battle of Europe,6,0.0,0.0,battleofeurope
Battle: Los Angeles,17,0.0,0.0,battlelosangeles
BattleBlock Theater,55,0.0,0.0,battleblocktheater
BattleForge,27,0.0,0.0,battleforge
BattleTech,137,1.0,0.0072992700729927,battletech
Battleborn,121,2.0,0.0165289256198347,battleborn
Battlecruiser Millennium,39,0.0,0.0,battlecruisermillennium
Battlefield 1,583,3.0,0.0051457975986277,battlefield1
Battlefield 1942,121,0.0,0.0,battlefield1942
Battlefield 1942: Secret Weapons of WWII,39,0.0,0.0,battlefield1942secretweaponsofwwii
Battlefield 1942: The Road to Rome,19,0.0,0.0,battlefield1942theroadtorome
Battlefield 1: They Shall Not Pass,21,1.0,0.0476190476190476,battlefield1theyshallnotpass
Battlefield 2,262,2.0,0.0076335877862595,battlefield2
Battlefield 2042,2737,15.0,0.0054804530507855,battlefield2042
Battlefield 2142,153,0.0,0.0,battlefield2142
Battlefield 2142: Northern Strike,22,0.0,0.0,battlefield2142northernstrike
Battlefield 2: Euro Force,21,2.0,0.0952380952380952,battlefield2euroforce
Battlefield 2: Special Forces,32,0.0,0.0,battlefield2specialforces
Battlefield 3,1664,19.0,0.0114182692307692,battlefield3
Battlefield 3: Armored Kill,25,0.0,0.0,battlefield3armoredkill
Battlefield 3: Back to Karkand,50,1.0,0.02,battlefield3backtokarkand
