game_name,sys_req,release_date,name,Ncomments,Ndiscomfort,Pdiscomfort,OS,Processor,Memory,Graphics,DirectX,Storage,Network,no fields,memory_num,OS_num,storage_num,graphics_simp,graphics_num,processor_simp,processor_num
Call of Duty®: Vanguard,Requires a 64-bit processor and operating systemOS: Window 10 64 Bit (latest update) or Windows 11 64 Bit (latest update)Processor: Intel Core i5-2500k or AMD Ryzen 5 1600XMemory: 12 GB RAMGraphics: NVIDIA GeForce GTX 1060 or AMD Radeon RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 177 GB available space,8-Mar-23,callofdutyvanguard,330,4,0.012121212, Window 10 64 Bit (latest update) or Windows 11 64 Bit (latest update), Intel Core i5-2500k or AMD Ryzen 5 1600X, 12 GB RAM, NVIDIA GeForce GTX 1060 or AMD Radeon RX 580, Version 12, 177 GB available space, Broadband Internet connection,,12,7,177,GTX 1060 ,56.1,I5-2500K,55.2
Call of Duty®: Black Ops Cold War,Requires a 64-bit processor and operating systemOS: Windows® 10 64-bit (latest update)Processor: Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X ProcessorMemory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 Super or AMD Radeon™ R9 390 / AMD Radeon™ RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 175 GB available space,8-Mar-23,callofdutyblackopscoldwar,395,8,0.020253165, Windows® 10 64-bit (latest update), Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X Processor, 12 GB RAM, NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 Super or AMD Radeon™ R9 390 / AMD Radeon™ RX 580, Version 12, 175 GB available space, Broadband Internet connection,,12,6,175,GTX 970 ,49.1,I5-2500K,55.2
Call of Duty®: Modern Warfare®,Requires a 64-bit processor and operating systemOS: Windows® 10 64-bit latest updateProcessor: Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X ProcessorMemory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 175 GB available space,8-Mar-23,callofdutymodernwarfare,1696,14,0.008254717, Windows® 10 64-bit latest update, Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X Processor, 12 GB RAM, NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580, Version 12, 175 GB available space, Broadband Internet connection,,12,6,175,GTX 970 ,49.1,I5-2500K,55.2
Assassin's Creed Valhalla,Requires a 64-bit processor and operating systemOS: Windows 10 (versions 64 bits uniquement)Processor: AMD Ryzen 5 1600 3.2 GHz / Intel Core i7-4790 3.6 GHzMemory: 8 GB RAMGraphics: AMD R9 380 /NVIDIA GeForce GTX 960DirectX: Version 12Storage: 160 GB available space,6-Dec-22,assassinscreedvalhalla,1760,27,0.015340909, Windows 10 (versions 64 bits uniquement), AMD Ryzen 5 1600 3.2 GHz / Intel Core i7-4790 3.6 GHz, 8 GB RAM, AMD R9 380 /NVIDIA GeForce GTX 960, Version 12, 160 GB available space,,,8,6,160,GTX 960,32.9,I7-4790,71.4
Red Dead Redemption 2,Requires a 64-bit processor and operating systemOS: Windows 10 - April 2018 Update (v1803)Processor: Intel® Core™ i7-4770K / AMD Ryzen 5 1500XMemory: 12 GB RAMGraphics: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GBNetwork: Broadband Internet connectionStorage: 150 GB available spaceSound Card: Direct X Compatible,5-Dec-19,reddeadredemption2,1943,9,0.004632012, Windows 10 - April 2018 Update (v1803), Intel® Core™ i7-4770K / AMD Ryzen 5 1500X, 12 GB RAM, Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB,, 150 GB available spaceSound Card: Direct X Compatible, Broadband Internet connection,,12,5,150,GTX 1060 ,56.1,I7-4770K,73.6
Race The Sun,"OS: Windows: XP, Vista, 7, 8Processor: Dual Core ProcessorMemory: 2 GB RAMGraphics: SM2.0 (or later) Graphics CardStorage: 150 MB available spaceVR Support: SteamVR or Oculus PC. Keyboard or gamepad required",9-Dec-13,racethesun,45,0,0," Windows: XP, Vista, 7, 8", Dual Core Processor, 2 GB RAM, SM2.0 (or later) Graphics Card,, 150 MB available spaceVR Support: SteamVR or Oculus PC. Keyboard or gamepad required,,,2,3,150,,2,DUAL,36.6
Poly Bridge,OS: Windows 7Processor: 1GHzMemory: 2 GB RAMGraphics: 512MbDirectX: Version 9.0Storage: 150 MB available space,12-Jul-16,polybridge,14,0,0, Windows 7, 1GHz, 2 GB RAM, 512Mb, Version 9.0, 150 MB available space,,,2,2,150,,2,,27.7
Risk of Rain,OS: Windows Vista / 7Processor: 2.5 GHzMemory: 1 GB RAMGraphics: Direct X9.0c Compatible CardDirectX: Version 9.0Storage: 130 MB available spaceAdditional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller,8-Nov-13,riskofrain,89,1,0.011235955, Windows Vista / 7, 2.5 GHz, 1 GB RAM, Direct X9.0c Compatible Card, Version 9.0, 130 MB available spaceAdditional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller,,,1,2,130,,2,,27.7
Journey To The Center Of The Earth,OS: windows XPProcessor: 2 GHZMemory: 1 GB RAMDirectX: Version 9.0cStorage: 128 MB available space,23-Sep-15,journeytothecenteroftheearth,10,0,0, windows XP, 2 GHZ, 1 GB RAM,, Version 9.0c, 128 MB available space,,,1,1,128,,2,,27.7
UNCHARTED™: Legacy of Thieves Collection,"OS: Windows 10 64-bitProcessor: Intel i7-4770, AMD Ryzen 5 1500XMemory: 16 GB RAMGraphics: NVIDIA GTX 1060 (6 GB), AMD RX 570 (4 GB)DirectX: Version 12Storage: 126 GB available space",19-Oct-22,unchartedlegacyofthievescollection,239,0,0, Windows 10 64-bit," Intel i7-4770, AMD Ryzen 5 1500X", 16 GB RAM," NVIDIA GTX 1060 (6 GB), AMD RX 570 (4 GB)", Version 12, 126 GB available space,,,16,6,126,GTX 1060 ,56.1,I7-4770,70.5
